task_label,comparison,comparison_label,metric,metric_label,model_a,model_b,model_a_value,model_b_value,benefit_point,benefit_ci_low,benefit_ci_high,fraction_bootstrap_model_a_better,n_paired_patients,n_paired_examples,n_paired_positive,conclusion
ICU transfer,RepresentationOnly4096,"No-backfill vs raw, context 4096",auprc,AUPRC,condition_era_90_no_backfill_4096,raw_4096,0.2006775355482088,0.2193999956294373,-0.0187224600812285,-0.0425613591918186,0.009329796544353,0.0998,1154,2037,85,difference_not_established
ICU transfer,RepresentationOnly4096,"No-backfill vs raw, context 4096",brier,Brier score,condition_era_90_no_backfill_4096,raw_4096,0.0368189882422699,0.0363658328099494,-0.0004531554323204,-0.0009751153247841,5.079113439246558e-05,0.0407,1154,2037,85,difference_not_established
ICU transfer,RepresentationOnly4096,"No-backfill vs raw, context 4096",logloss,LogLoss,condition_era_90_no_backfill_4096,raw_4096,0.1517550221137726,0.1492586228302491,-0.0024963992835235,-0.0053092018142711,0.0002567079808548,0.0384,1154,2037,85,difference_not_established
ICU transfer,RepresentationOnly4096,"No-backfill vs raw, context 4096",top_10pct_precision,Top-10% precision,condition_era_90_no_backfill_4096,raw_4096,0.1666666666666666,0.1764705882352941,-0.0098039215686274,-0.0392205157925239,0.0284360189573459,0.3059,1154,2037,85,difference_not_established
ICU transfer,Backfill4096,"Backfill vs no-backfill, context 4096",auroc,AUROC,condition_era_90_backfill_4096,condition_era_90_no_backfill_4096,0.8013018322082931,0.7731617647058823,0.0281400675024108,0.0102097623838077,0.0474669076733665,0.9992,1154,2037,85,model_a_better
ICU transfer,Backfill4096,"Backfill vs no-backfill, context 4096",auprc,AUPRC,condition_era_90_backfill_4096,condition_era_90_no_backfill_4096,0.2241242849403359,0.2006775355482088,0.0234467493921271,-0.0090639752415307,0.0571402394008659,0.929,1154,2037,85,difference_not_established
ICU transfer,Backfill4096,"Backfill vs no-backfill, context 4096",brier,Brier score,condition_era_90_backfill_4096,condition_era_90_no_backfill_4096,0.0361847770265656,0.0368189882422699,0.0006342112157042,-0.0001055552261579,0.0013746568588516,0.9559,1154,2037,85,difference_not_established
ICU transfer,Backfill4096,"Backfill vs no-backfill, context 4096",logloss,LogLoss,condition_era_90_backfill_4096,condition_era_90_no_backfill_4096,0.1474535706735491,0.1517550221137726,0.0043014514402235,0.0015275703539965,0.0071726157181361,0.9986,1154,2037,85,model_a_better
ICU transfer,Backfill4096,"Backfill vs no-backfill, context 4096",top_10pct_precision,Top-10% precision,condition_era_90_backfill_4096,condition_era_90_no_backfill_4096,0.1813725490196078,0.1666666666666666,0.0147058823529411,-0.01,0.0463917525773195,0.8411,1154,2037,85,difference_not_established
ICU transfer,StateFeatures4096,"State features vs structure-null, context 4096",auroc,AUROC,condition_era_90_backfill_4096,condition_era_90_structure_null_4096,0.8013018322082931,0.7704194792671166,0.0308823529411764,0.0091627593112679,0.0524472617354197,0.9965,1154,2037,85,model_a_better
ICU transfer,StateFeatures4096,"State features vs structure-null, context 4096",auprc,AUPRC,condition_era_90_backfill_4096,condition_era_90_structure_null_4096,0.2241242849403359,0.1825341303604133,0.0415901545799226,0.0049381488256327,0.0907993047975388,0.9843,1154,2037,85,model_a_better
ICU transfer,StateFeatures4096,"State features vs structure-null, context 4096",brier,Brier score,condition_era_90_backfill_4096,condition_era_90_structure_null_4096,0.0361847770265656,0.0373094543682689,0.0011246773417032,0.0001002748129298,0.0021864791893962,0.9846,1154,2037,85,model_a_better
ICU transfer,StateFeatures4096,"State features vs structure-null, context 4096",logloss,LogLoss,condition_era_90_backfill_4096,condition_era_90_structure_null_4096,0.1474535706735491,0.1552793529156731,0.007825782242124,0.0039293420990621,0.0122050318512318,1.0,1154,2037,85,model_a_better
ICU transfer,StateFeatures4096,"State features vs structure-null, context 4096",top_10pct_precision,Top-10% precision,condition_era_90_backfill_4096,condition_era_90_structure_null_4096,0.1813725490196078,0.1568627450980392,0.0245098039215686,0.0046296296296296,0.0549999999999999,0.9769,1154,2037,85,model_a_better
ICU transfer,Full16384,"Full compression vs raw, context 16384",auroc,AUROC,condition_era_90_backfill_16384,raw_16384,0.7774349083895853,0.7805086788813885,-0.0030737704918032,-0.0390205935604416,0.0327528547782275,0.4356,1154,2037,85,difference_not_established
ICU transfer,Full16384,"Full compression vs raw, context 16384",auprc,AUPRC,condition_era_90_backfill_16384,raw_16384,0.2352406344687482,0.2017031547656013,0.0335374797031469,-0.0149680760800756,0.0871550118665686,0.9101,1154,2037,85,difference_not_established
ICU transfer,Full16384,"Full compression vs raw, context 16384",brier,Brier score,condition_era_90_backfill_16384,raw_16384,0.036149015139077,0.036903320917098,0.0007543057780209,-0.0001583468374434,0.0017473447472133,0.9465,1154,2037,85,difference_not_established
ICU transfer,Full16384,"Full compression vs raw, context 16384",logloss,LogLoss,condition_era_90_backfill_16384,raw_16384,0.1505327838970801,0.1530491483131388,0.0025163644160587,-0.0014793726293944,0.0069015605760889,0.8852,1154,2037,85,difference_not_established
